name,sex,age,survived,class,joined,ticket,price,sibsp,parch,job,occupation,dob,date_death,boat..body.,url,ticketFreq,pricepp,fsize,title
"ANGLE, Mrs Florence Agnes ",female,36,1,2,Southampton,226875,26,1,0,NA,NA,1876-03-08,1969-08-20,11,/titanic-survivor/florence-angle.html,2,13,2,Mrs
"ASHBY, Mr John ",male,57,0,2,Southampton,244346,13,0,0,NA,NA,1854-06-29,1912-04-15,NA,/titanic-victim/john-ashby.html,1,13,1,Mr
"BAILEY, Mr Percy ",male,15,0,2,Southampton,29108,11.5,0,0,NA,Butcher's Assistant  ,1894-06-30,1912-04-15,NA,/titanic-victim/percy-andrew-bailey.html,1,11.5,1,Mr
"BAINBRIGGE, Mr Charles Robert ",male,22,0,2,Southampton,31030,10.5,0,0,NA,Horse Trainer  ,1889-10-19,1912-04-15,NA,/titanic-victim/charles-robert-bainbrigge.html,1,10.5,1,Mr
"BALLS, Mrs Ada E. ",female,36,1,2,Southampton,28551,13,0,0,NA,NA,1875-05-09,1967-10-01,10,/titanic-survivor/ada-ball.html,1,13,1,Mrs
"BANFIELD, Mr Frederick James ",male,28,0,2,Southampton,34068,10.5,0,0,NA,Miner  ,1884-02-29,1912-04-15,NA,/titanic-victim/frederick-james-banfield.html,1,10.5,1,Mr
"BATEMAN, Revd Robert James ",male,51,0,2,Southampton,1166,12.5,0,0,NA,Priest / Minister  ,1859-10-14,1912-04-15, [174],/titanic-victim/robert-james-bateman.html,1,12.5,1,Revd
"BEANE, Mr Edward ",male,32,1,2,Southampton,2908,26,1,0,NA,NA,1879-11-19,1948-10-24,13,/titanic-survivor/edward-beane.html,2,13,2,Mr
"BEANE, Mrs Ethel ",female,22,1,2,Southampton,2908,26,1,0,NA,NA,1889-11-15,1983-09-17,13,/titanic-survivor/ethel-beane.html,2,13,2,Mrs
"BEAUCHAMP, Mr Henry James ",male,28,0,2,Southampton,244358,26,0,0,NA,Club Head Steward  ,1868-06-30,1912-04-15,NA,/titanic-victim/henry-james-beauchamp.html,2,13,1,Mr
"BECKER, Master Richard F. ",male,1,1,2,Southampton,230136,39,2,1,NA,NA,1910-06-26,1975-09-06,11,/titanic-survivor/richard-becker.html,4,9.8,4,Master
"BECKER, Miss Marion Louise ",female,4,1,2,Southampton,230136,39,2,1,NA,NA,1907-12-28,1944-02-15,11,/titanic-survivor/marion-louise-becker.html,4,9.8,4,Miss
"BECKER, Miss Ruth Elizabeth ",female,12,1,2,Southampton,230136,39,2,1,NA,NA,1899-10-28,1990-07-06,13,/titanic-survivor/ruth-elizabeth-becker.html,4,9.8,4,Miss
"BECKER, Mrs Nellie E. ",female,35,1,2,Southampton,230136,39,0,3,NA,NA,1876-06-19,1961-02-15,11,/titanic-survivor/nellie-becker.html,4,9.8,4,Mrs
"BEESLEY, Mr Lawrence ",male,34,1,2,Southampton,248698,13,0,0,NA,Teacher  ,1877-12-31,1967-02-14,13,/titanic-survivor/lawrence-beesley.html,1,13,1,Mr
"BENTHAM, Miss Lillian W. ",female,19,1,2,Southampton,28404,13,0,0,NA,NA,1892-07-23,1977-12-15,12,/titanic-survivor/lillian-bentham.html,1,13,1,Miss
"BERRIMAN, Mr William John ",male,23,0,2,Southampton,28425,13,0,0,NA,NA,1889-06-30,1912-04-15,NA,/titanic-victim/william-john-berriman.html,1,13,1,Mr
"BOTSFORD, Mr William Hull ",male,25,0,2,Southampton,237670,13,0,0,NA,NA,1886-11-23,1912-04-15,NA,/titanic-victim/william-hull-botsford.html,1,13,1,Mr
"BOWENUR, Mr Solomon ",male,42,0,2,Southampton,211535,13,0,0,NA,Merchant  ,NA,1912-04-15,NA,/titanic-victim/solomon-bowenur.html,1,13,1,Mr
"BRACKEN, Mr James Hollen ",male,29,0,2,Southampton,220367,13,0,0,NA,Stockman  ,1881-09-08,1912-04-15,NA,/titanic-victim/james-bracken.html,1,13,1,Mr
"BRITO, Mr José Joaquim de ",male,32,0,2,Southampton,244360,13,0,0,NA,NA,NA,1912-04-15,NA,/titanic-victim/jose-joaquim-de-brito.html,1,13,1,Mr
"BROWN, Miss Amelia Mary ",female,18,1,2,Southampton,248733,13,0,0,Servant,Cook (Personal)  ,1893-08-18,1976-06-30,11,/titanic-survivor/mildred-brown.html,1,13,1,Miss
"BROWN, Miss Edith Eileen ",female,15,1,2,Southampton,29750,39,0,2,NA,Scholar  ,1896-10-27,1997-01-20,14,/titanic-survivor/edith-haisman.html,3,13,3,Miss
"BROWN, Mr Thomas William Solomon ",male,60,0,2,Southampton,29750,39,1,1,NA,Hotelier  ,1852-06-30,1912-04-15,NA,/titanic-victim/thomas-william-solomon-brown.html,3,13,3,Mr
"BROWN, Mrs Elizabeth Catherine ",female,40,1,2,Southampton,29750,39,1,1,NA,NA,1872-06-30,1925-06-29,14,/titanic-survivor/elizabeth-catherine-brown.html,3,13,3,Mrs
"BRYHL, Miss Dagmar Jenny Ingeborg ",female,20,1,2,Southampton,236853,26,1,0,NA,NA,1891-09-02,NA,12,/titanic-survivor/dagmar-bryhl.html,2,13,2,Miss
"BRYHL, Mr Kurt Arnold Gottfrid ",male,25,0,2,Southampton,236853,26,1,0,NA,NA,1887-03-02,1912-04-15,NA,/titanic-victim/kurt-arnold-gottfrid-bryhl.html,2,13,2,Mr
"BUSS, Miss Kate ",female,36,1,2,Southampton,27849,13,0,0,NA,NA,1875-12-28,1972-07-12,9,/titanic-survivor/kate-buss.html,1,13,1,Miss
"BUTLER, Mr Reginald Fenton ",male,25,0,2,Southampton,234686,13,0,0,NA,Mechanical Engineer  ,1886-06-30,1912-04-15, [97],/titanic-victim/reginald-fenton-butler.html,1,13,1,Mr
"BYLES, Fr Thomas Roussel Davids ",male,42,0,2,Southampton,244310,13,0,0,NA,Priest / Minister  ,1870-02-26,1912-04-15,NA,/titanic-victim/fr-byles.html,1,13,1,Fr
"BYSTRöM, Mrs Karolina ",female,40,1,2,Southampton,236852,13,0,0,NA,NA,1872-02-11,NA,NA,/titanic-survivor/karolina-bystrom.html,1,13,1,Mrs
"CALDWELL, Master Alden Gates ",male,0.83,1,2,Southampton,248738,29,0,2,NA,NA,1911-06-10,1992-12-18,13,/titanic-survivor/alden-gates-caldwell.html,3,9.7,3,Master
"CALDWELL, Mr Albert Francis ",male,26,1,2,Southampton,248738,29,1,1,NA,NA,1885-09-08,1977-03-10,13,/titanic-survivor/albert-caldwell.html,3,9.7,3,Mr
"CALDWELL, Mrs Sylvia Mae ",female,28,1,2,Southampton,248738,29,1,1,NA,NA,1883-07-23,1965-01-14,13,/titanic-survivor/sylvia-caldwell.html,3,9.7,3,Mrs
"CAMERON, Miss Clear Annie ",female,35,1,2,Southampton,13528,21,0,0,NA,Personal Maid  ,1877-03-08,1962-02-02,14,/titanic-survivor/clear-cameron.html,2,10.5,1,Miss
"CARBINES, Mr William ",male,19,0,2,Southampton,28424,13,0,0,NA,Miner  ,1893-06-30,1912-04-15, [18],/titanic-victim/william-carbines.html,1,13,1,Mr
"CARTER, Fr Ernest Courtenay ",male,54,0,2,Southampton,244252,26,1,0,NA,Priest / Minister  ,1858-02-17,1912-04-15,NA,/titanic-victim/ernest-courtenay-carter.html,2,13,2,Fr
"CARTER, Mrs Lilian ",female,45,0,2,Southampton,244252,26,1,0,NA,NA,1867-03-03,1912-04-15,NA,/titanic-victim/lilian-carter.html,2,13,2,Mrs
"CHAPMAN, Mr Charles Henry ",male,52,0,2,Southampton,248731,13.5,0,0,NA,NA,NA,1912-04-15, [130],/titanic-victim/charles-henry-chapman.html,1,13.5,1,Mr
"CHAPMAN, Mr John Henry ",male,36,0,2,Southampton,29037,26,1,0,NA,Farmer  ,1875-06-30,1912-04-15, [17],/titanic-victim/john-henry-chapman.html,2,13,2,Mr
"CHAPMAN, Mrs Sara Elizabeth ",female,28,0,2,Southampton,29037,26,1,0,NA,NA,1883-06-30,1912-04-15,NA,/titanic-victim/sara-elizabeth-chapman.html,2,13,2,Mrs
"CHRISTY, Miss Rachel Juli Cohen ",female,25,1,2,Southampton,237789,30,1,1,NA,NA,1887-06-30,1931-10-30,12,/titanic-survivor/rachel-julie-cohen-christy.html,2,15,3,Miss
"CHRISTY, Mrs Alice Frances ",female,45,1,2,Southampton,237789,30,0,2,NA,NA,1860-06-30,1939-07-07,12,/titanic-survivor/alice-frances-christy.html,2,15,3,Mrs
"CLARKE, Mr Charles Valentine ",male,29,0,2,Southampton,2003,26,1,0,NA,Dairy Worker  ,1883-02-14,1912-04-15,NA,/titanic-victim/charles-valentine-clarke.html,2,13,2,Mr
"CLARKE, Mrs Ada Maria ",female,28,1,2,Southampton,2003,27,1,0,NA,NA,1884-06-30,1953-02-08,14,/titanic-survivor/ada-maria-clarke.html,2,13.5,2,Mrs
"COLERIDGE, Mr Reginald Charles ",male,29,0,2,Southampton,14263,10.5,0,0,NA,Advertising Consultant  ,1883-06-30,1912-04-15,NA,/titanic-victim/reginald-charles-coleridge.html,1,10.5,1,Mr
"COLLANDER, Mr Erik Gustaf ",male,27,0,2,Southampton,248740,13,0,0,NA,NA,1884-04-19,1912-04-15,NA,/titanic-victim/erik-gustaf-collander.html,1,13,1,Mr
"COLLETT, Mr Sidney Clarence Stuart ",male,25,1,2,Southampton,28034,10.5,0,0,NA,NA,1887-01-08,1941-05-08,9,/titanic-survivor/sidney-clarence-stuart-collett.html,1,10.5,1,Mr
"COLLYER, Miss Marjorie Lottie ",female,8,1,2,Southampton,31921,26.2,0,2,NA,NA,1904-01-28,1965-02-26,14,/titanic-survivor/marjorie-collyer.html,3,8.7,3,Miss
"COLLYER, Mr Harvey ",male,31,0,2,Southampton,31921,26.2,1,1,NA,Grocer  ,1880-11-26,1912-04-15,NA,/titanic-victim/harvey-collyer.html,3,8.7,3,Mr
"COLLYER, Mrs Charlotte Caroline ",female,31,1,2,Southampton,31921,26.2,1,1,NA,NA,1881-10-01,1916-11-28,14,/titanic-survivor/charlotte-annie-collyer.html,3,8.7,3,Mrs
"COOK, Mrs Selena ",female,22,1,2,Southampton,14266,10.5,0,0,NA,NA,1890-04-06,1964-09-12,14,/titanic-survivor/selena-cook.html,1,10.5,1,Mrs
"CORBETT, Mrs Irene ",female,30,0,2,Southampton,237249,13,0,0,NA,Musician  ,1881-08-06,1912-04-15,NA,/titanic-victim/irene-corbett.html,1,13,1,Mrs
"COREY, Mrs Mary Emma ",female,30,0,2,Southampton,13534,21,0,0,NA,NA,1879-08-15,1912-04-15,NA,/titanic-victim/mary-phyllis-elizabeth-corey.html,2,10.5,1,Mrs
"COTTERILL, Mr Henry ",male,20,0,2,Southampton,29107,11.5,0,0,NA,Carpenter / Joiner  ,1891-06-30,1912-04-15,NA,/titanic-victim/harry-cotterill.html,1,11.5,1,Mr
"DAVIES, Master John Morgan jr ",male,8,1,2,Southampton,33112,36.8,1,1,NA,NA,1903-07-31,1951-12-16,14,/titanic-survivor/john-morgan-davies.html,4,9.2,3,Master
"DAVIES, Mr Charles Henry ",male,19,0,2,Southampton,14879,73.5,0,0,NA,NA,1893-06-30,1912-04-15,NA,/titanic-victim/charles-henry-davies.html,7,10.5,1,Mr
"DAVIES, Mrs Agnes ",female,48,1,2,Southampton,33112,36.8,0,2,NA,NA,1863-11-23,1933-08-04,14,/titanic-survivor/elizabeth-agnes-mary-davies.html,4,9.2,3,Mrs
"DAVIS, Miss Mary Ann Charlotte ",female,28,1,2,Southampton,237668,13,0,0,NA,NA,1883-05-18,1987-07-29,13,/titanic-survivor/mary-davis.html,1,13,1,Miss
"DEACON, Mr Percy William ",male,18,0,2,Southampton,14879,73.5,0,0,NA,Baker  ,1894-06-30,1912-04-15,NA,/titanic-victim/percy-deacon.html,7,10.5,1,Mr
"DEL CARLO, Mr Sebastiano ",male,29,0,2,Cherbourg,2167,27.7,1,0,NA,NA,1883-03-11,1912-04-15, [295],/titanic-victim/sebastiano-del-carlo.html,2,13.8,2,Mr
"DEL CARLO, Mrs Argene ",female,24,1,2,Cherbourg,2167,27.7,1,0,NA,NA,1887-11-06,1970-10-08,11,/titanic-survivor/argene-del-carlo.html,2,13.8,2,Mrs
"DENBUOY, Mr Albert Joseph ",male,25,0,2,Southampton,31029,31.5,0,0,NA,Fruit Farmer  ,1886-04-24,1912-04-15,NA,/titanic-victim/albert-denbuoy.html,3,10.5,1,Mr
"DIBDEN, Mr William ",male,18,0,2,Southampton,14879,73.5,0,0,NA,General Labourer  ,1893-10-29,1912-04-15,NA,/titanic-victim/william-dibden.html,7,10.5,1,Mr
"DOLING, Miss Elsie ",female,18,1,2,Southampton,231919,23,0,1,NA,NA,1893-10-30,1972-03-03,NA,/titanic-survivor/elsie-doling.html,2,11.5,2,Miss
"DOLING, Mrs Ada Julia Elizabeth ",female,34,1,2,Southampton,231919,23,0,1,NA,NA,1877-09-09,1962-04-11,NA,/titanic-survivor/ada-doling.html,2,11.5,2,Mrs
"DOUTON, Mr William Joseph ",male,55,0,2,Southampton,28403,26,0,0,NA,Quarryman  ,1856-12-18,1912-04-15,NA,/titanic-victim/william-joseph-douton.html,2,13,1,Mr
"DREW, Master Marshall Brines ",male,8,1,2,Southampton,28220,32.5,0,2,NA,NA,1904-03-30,1986-06-06,10,/titanic-survivor/marshall-brines-drew.html,3,10.8,3,Master
"DREW, Mr James Vivian ",male,42,0,2,Southampton,28220,32.5,1,1,NA,NA,1869-05-04,1912-04-15,NA,/titanic-victim/james-vivian-drew.html,3,10.8,3,Mr
"DREW, Mrs Lulu Thorne ",female,34,1,2,Southampton,28220,32.5,1,1,NA,NA,1878-03-19,1970-06-02,10,/titanic-survivor/lulu-thorne-drew.html,3,10.8,3,Mrs
"DURáN I MONé, Sra. Asuncion ",female,27,1,2,Cherbourg,2149,13.9,1,0,NA,NA,NA,NA,12,/titanic-survivor/asuncion-duran-y-more.html,1,13.9,2,Sra
"DURáN I MONé, Sra. Florentina ",female,30,1,2,Cherbourg,2148,13.9,1,0,NA,NA,NA,1959-10-01,12,/titanic-survivor/florentina-duran-y-more.html,1,13.9,2,Sra
"EITEMILLER, Mr George Floyd ",male,25,0,2,Southampton,29751,13,0,0,NA,NA,1886-11-15,1912-04-15,NA,/titanic-victim/george-floyd-eitemiller.html,1,13,1,Mr
"ENANDER, Mr Ingvar ",male,21,0,2,Southampton,236854,13,0,0,NA,NA,1890-12-26,1912-04-15,NA,/titanic-victim/ingvar-enander.html,1,13,1,Mr
"FAHLSTRøM, Mr Arne Joma ",male,18,0,2,Southampton,236171,13,0,0,NA,NA,1893-07-05,1912-04-15,NA,/titanic-victim/arne-joma-fahlstrom.html,1,13,1,Mr
"FAUNTHORPE, Mr Harry Bartram ",male,41,0,2,Southampton,2926,26,1,0,NA,NA,1880-06-30,1912-04-15, [286],/titanic-victim/harry-faunthorpe.html,2,13,2,Mr
"FILLBROOK, Mr Joseph Charles ",male,18,0,2,Southampton,15185,10.5,0,0,NA,Painter & Decorator  ,1894-06-30,1912-04-15,NA,/titanic-victim/joseph-charles-fillbrook.html,1,10.5,1,Mr
"FOX, Mr Stanley Harrington ",male,38,0,2,Southampton,229236,13,0,0,NA,Businessman  ,1874-04-13,1912-04-15, [236],/titanic-victim/stanley-hubert-fox.html,1,13,1,Mr
"FUNK, Miss Annie Clemmer ",female,38,0,2,Southampton,237671,13,0,0,NA,Missionary  ,1874-04-12,1912-04-15,NA,/titanic-victim/annie-clemmer-funk.html,1,13,1,Miss
"FYNNEY, Mr Joseph J. ",male,35,0,2,Southampton,239865,26,0,0,NA,Rubber Merchant  ,1876-06-30,1912-04-15, [322],/titanic-victim/joseph-fynney.html,2,13,1,Mr
"GALE, Mr Harry ",male,38,0,2,Southampton,28664,21,1,0,NA,Miner  ,1874-06-30,1912-04-15,NA,/titanic-victim/harry-gale.html,2,10.5,2,Mr
"GALE, Mr Shadrach ",male,33,0,2,Southampton,28664,21,1,0,NA,Miner  ,1878-07-17,1912-04-15,NA,/titanic-victim/shadrach-gale.html,2,10.5,2,Mr
"GARSIDE, Miss Ethel ",female,39,1,2,Southampton,243880,13,0,0,NA,NA,1873-03-13,1953-03-25,12,/titanic-survivor/ethel-garside.html,1,13,1,Miss
"GASKELL, Mr William Alfred ",male,18,0,2,Southampton,239865,26,0,0,NA,Cooper  ,1893-06-30,1912-04-15,NA,/titanic-victim/alfred-gaskell.html,2,13,1,Mr
"GAVEY, Mr Laurence ",male,26,0,2,Southampton,31028,10.5,0,0,NA,NA,1886-04-09,1912-04-15,NA,/titanic-victim/laurence-gavey.html,1,10.5,1,Mr
"GILBERT, Mr William ",male,47,0,2,Southampton,30769,10.5,0,0,NA,NA,1865-06-30,1912-04-15,NA,/titanic-victim/william-gilbert.html,1,10.5,1,Mr
"GILES, Mr Edgar ",male,21,0,2,Southampton,28133,11.5,1,0,NA,Cab Driver  ,1893-06-30,1912-04-15,NA,/titanic-victim/edgar-giles.html,1,11.5,2,Mr
"GILES, Mr Frederick Edward ",male,20,0,2,Southampton,28134,11.5,1,0,NA,Bus Driver  ,1891-06-30,1912-04-15,NA,/titanic-victim/frederick-edward-giles.html,1,11.5,2,Mr
"GILES, Mr Ralph ",male,24,0,2,Southampton,248726,13.5,0,0,NA,NA,1887-09-09,1912-04-15, [297],/titanic-victim/ralph-giles.html,1,13.5,1,Mr
"GILL, Mr John ",male,24,0,2,Southampton,233866,13,0,0,NA,Chauffeur  ,1888-06-30,1912-04-15, [155],/titanic-victim/john-william-gill.html,1,13,1,Mr
"GILLESPIE, Mr William Henry ",male,31,0,2,Southampton,12233,13,0,0,NA,Clerk  ,1880-10-07,1912-04-15,NA,/titanic-victim/william-henry-gillespie.html,1,13,1,Mr
"GIVARD, Mr Hans Kristensen ",male,30,0,2,Southampton,250646,13,0,0,NA,NA,NA,1912-04-15, [305],/titanic-victim/hans-kristensen-givard.html,1,13,1,Mr
"GREENBERG, Mr Samuel ",male,52,0,2,Southampton,250647,13,0,0,NA,NA,NA,1912-04-15, [19],/titanic-victim/samuel-greenberg.html,2,6.5,1,Mr
"HALE, Mr Reginald ",male,30,0,2,Southampton,250653,13,0,0,NA,Gardener  ,NA,1912-04-15, [75],/titanic-victim/reginald-hale.html,1,13,1,Mr
"HäMäLäINEN, Master Viljo Unto Johannes ",male,0.58,1,2,Southampton,250649,14.5,1,1,NA,NA,1911-08-29,NA,4,/titanic-survivor/viljo-hamalainen.html,2,7.2,3,Master
"HäMäLäINEN, Mrs Anna ",female,23,1,2,Southampton,250649,14.5,0,2,NA,NA,NA,NA,4,/titanic-survivor/anna-hamalainen.html,2,7.2,3,Mrs
"HARBECK, Mr William H. ",male,44,0,2,Southampton,248746,13,0,0,NA,Cinematographer  ,1866-09-15,1912-04-15, [35],/titanic-victim/william-harbeck.html,1,13,1,Mr
"HARPER, Miss Annie Jessie ",female,6,1,2,Southampton,248727,33,0,1,NA,NA,1906-01-03,1986-04-10,11,/titanic-survivor/nina-harper.html,3,11,2,Miss
"HARPER, Rev. John ",male,39,0,2,Southampton,248727,33,0,1,NA,Priest / Minister  ,1872-05-29,1912-04-15,NA,/titanic-victim/john-harper.html,3,11,2,Rev
"HARRIS, Mr George ",male,62,1,2,Southampton,752,10.5,0,0,NA,NA,1850-03-15,1919-03-03,15,/titanic-survivor/george-harris.html,2,5.2,1,Mr
"HARRIS, Mr Walter ",male,44,0,2,Southampton,14208,10.5,0,0,NA,NA,1867-06-30,1912-04-15,NA,/titanic-victim/walter-harris.html,1,10.5,1,Mr
"HART, Miss Eva Miriam ",female,7,1,2,Southampton,13529,26.2,0,2,NA,NA,1905-01-31,1996-02-14,14,/titanic-survivor/eva-hart.html,3,8.7,3,Miss
"HART, Mr Benjamin ",male,47,0,2,Southampton,13529,26.2,1,1,NA,Builder  ,1864-12-25,1912-04-15,NA,/titanic-victim/benjamin-hart.html,3,8.7,3,Mr
"HART, Mrs Esther Ada ",female,48,1,2,Southampton,13529,26.2,1,1,NA,NA,1863-05-13,1928-09-07,14,/titanic-survivor/esther-hart.html,3,8.7,3,Mrs
"HERMAN, Miss Alice ",female,23,1,2,Southampton,220845,65,1,2,NA,NA,1887-12-06,1947-03-23,9,/titanic-survivor/alice-herman.html,5,13,4,Miss
"HERMAN, Miss Kate ",female,23,1,2,Southampton,220845,65,1,2,NA,NA,1887-12-06,1983-01-18,9,/titanic-survivor/kate-herman.html,5,13,4,Miss
"HERMAN, Mr Samuel ",male,49,0,2,Southampton,220845,65,1,2,NA,Farmer  ,1862-06-30,1912-04-15,NA,/titanic-victim/samuel-herman.html,5,13,4,Mr
"HERMAN, Mrs Jane ",female,48,1,2,Southampton,220845,65,1,2,NA,NA,1861-07-15,1937-01-16,9,/titanic-survivor/jane-herman.html,5,13,4,Mrs
"HEWLETT, Mrs Mary Dunbar ",female,56,1,2,Southampton,248706,16,0,0,NA,NA,1855-07-08,1917-05-09,13,/titanic-survivor/mary-dunbar-hewlett.html,1,16,1,Mrs
"HICKMAN, Mr Leonard Mark ",male,24,0,2,Southampton,14879,73.5,2,0,NA,NA,1887-09-18,1912-04-15,NA,/titanic-victim/leonard-hickman.html,7,10.5,3,Mr
"HICKMAN, Mr Lewis ",male,30,0,2,Southampton,14879,73.5,2,0,NA,NA,1881-08-29,1912-04-15, [256],/titanic-victim/lewis-hickman.html,7,10.5,3,Mr
"HICKMAN, Mr Stanley George ",male,20,0,2,Southampton,14879,73.5,2,0,NA,NA,1891-06-30,1912-04-15,NA,/titanic-victim/stanley-hickman.html,7,10.5,3,Mr
"HILTUNEN, Miss Marta ",female,18,0,2,Southampton,250650,13,1,1,NA,NA,NA,1912-04-15,NA,/titanic-victim/marta-hiltunen.html,1,13,3,Miss
"HOCKING, Miss Ellen ",female,20,1,2,Southampton,29105,23,2,1,NA,NA,1891-11-05,1963-10-14,4,/titanic-survivor/ellen-hocking.html,2,11.5,4,Miss
"HOCKING, Mr Richard George ",male,23,0,2,Southampton,29104,11.5,2,1,NA,Baker  ,1888-06-30,1912-04-15,NA,/titanic-victim/richard-hocking.html,1,11.5,4,Mr
"HOCKING, Mr Samuel James Metcalfe ",male,36,0,2,Southampton,242963,13,0,0,NA,Painter & Decorator  ,1876-06-30,1912-04-15,NA,/titanic-victim/samuel-hocking.html,1,13,1,Mr
"HOCKING, Mrs Eliza ",female,54,1,2,Southampton,29105,23,1,3,NA,NA,1858-04-11,1914-04-15,4,/titanic-survivor/elizabeth-hocking.html,2,11.5,5,Mrs
"HODGES, Mr Henry Price ",male,50,0,2,Southampton,250643,13,0,0,NA,Musical Instrument Vendor  ,1862-06-30,1912-04-15, [149],/titanic-victim/henry-price-hodges.html,1,13,1,Mr
"HOLD, Mr Stephen ",male,44,0,2,Southampton,26707,26,1,0,NA,Clerk  ,1868-01-24,1912-04-15,NA,/titanic-victim/stephen-hold.html,2,13,2,Mr
"HOLD, Mrs Annie Margaret ",female,29,1,2,Southampton,26707,26,1,0,NA,NA,1883-06-30,1960-03-01,10,/titanic-survivor/annie-margaret-hold.html,2,13,2,Mrs
"HOOD, Mr Ambrose Jr ",male,21,0,2,Southampton,14879,73.5,0,0,NA,NA,1891-06-30,1912-04-15,NA,/titanic-victim/ambrose-hood.html,7,10.5,1,Mr
"HOSONO, Mr Masabumi ",male,41,1,2,Southampton,237798,13,0,0,NA,Civil Servant  ,1870-10-15,1939-03-14,10,/titanic-survivor/masabumi-hosono.html,1,13,1,Mr
"HOWARD, Mr Benjamin ",male,63,0,2,Southampton,24065,26,1,0,NA,Retired  ,1848-05-10,1912-04-15,NA,/titanic-victim/benjamin-howard.html,2,13,2,Mr
"HOWARD, Mrs Ellen Truelove ",female,61,0,2,Southampton,24065,26,1,0,NA,NA,1851-04-14,1912-04-15,NA,/titanic-victim/ellen-truelove-howard.html,2,13,2,Mrs
"HUNT, Mr George Henry ",male,33,0,2,Southampton,1585,12.3,0,0,NA,Gardener  ,1878-01-21,1912-04-15,NA,/titanic-victim/george-henry-hunt.html,1,12.3,1,Mr
"ILETT, Miss Bertha ",female,17,1,2,Southampton,14885,10.5,0,0,NA,NA,1894-10-12,1976-09-30,NA,/titanic-survivor/bertha-ilett.html,1,10.5,1,Miss
"JACOBSOHN, Mr Sidney Samuel ",male,42,0,2,Southampton,243847,27,1,0,NA,Lawyer  ,1869-10-23,1912-04-15,NA,/titanic-victim/sidney-samuel-jacobsohn.html,2,13.5,2,Mr
"JACOBSOHN, Mrs Amy Frances Christy ",female,24,1,2,Southampton,243847,27,2,1,NA,NA,1888-04-08,1947-07-09,12,/titanic-survivor/amy-jacobsohn.html,2,13.5,4,Mrs
"JARVIS, Mr Denzil John ",male,47,0,2,Southampton,237565,15,0,0,NA,Engineer  ,1865-06-17,1912-04-15,NA,/titanic-victim/denzil-john-jarvis.html,1,15,1,Mr
"JEFFERYS, Mr Clifford Thomas ",male,24,0,2,Southampton,31029,31.5,2,0,NA,Granite Cutter  ,1888-04-08,1912-04-15,NA,/titanic-victim/clifford-thomas-jefferys.html,3,10.5,3,Mr
"JEFFERYS, Mr Ernest Wilfred ",male,22,0,2,Southampton,31029,31.5,2,0,NA,Granite Cutter  ,1891-02-24,1912-04-15,NA,/titanic-victim/ernest-wilfred-jefferys.html,3,10.5,3,Mr
"JENKIN, Mr Stephen Curnow ",male,32,0,2,Southampton,33111,10.5,0,0,NA,Miner  ,1879-11-05,1912-04-15,NA,/titanic-victim/stephen-curnow-jenkin.html,1,10.5,1,Mr
"JERWAN, Mrs Marie Marthe ",female,23,1,2,Cherbourg,541,13.8,0,0,NA,NA,1888-05-28,1974-09-14,11,/titanic-survivor/marie-marthe-jerwan.html,1,13.8,1,Mrs
"KANTOR, Mr Sinai ",male,34,0,2,Southampton,244367,26,1,0,NA,NA,NA,1912-04-15, [283],/titanic-victim/sinai-kantor.html,2,13,2,Mr
"KANTOR, Mrs Miriam ",female,24,1,2,Southampton,244367,26,1,0,NA,NA,NA,NA,12,/titanic-survivor/miriam-kantor.html,2,13,2,Mrs
"KARNES, Mrs Claire ",female,28,0,2,Southampton,13534,21,0,0,NA,NA,1889-06-15,1912-04-15,NA,/titanic-victim/claire-karnes.html,2,10.5,1,Mrs
"KEANE, Miss Nora Agnes ",female,46,1,2,Queenstown,226593,12.3,0,0,NA,NA,1866-03-30,1944-12-21,10,/titanic-survivor/nora-keane.html,1,12.3,1,Miss
"KEANE, Mr Daniel ",male,35,0,2,Queenstown,233734,12.3,0,0,NA,NA,1876-06-25,1912-04-15,NA,/titanic-victim/daniel-keane.html,1,12.3,1,Mr
"KELLY, Mrs Fanny Maria ",female,45,1,2,Southampton,223596,13.5,0,0,NA,NA,1863-06-30,1920-03-01,9,/titanic-survivor/fannie-kelly.html,1,13.5,1,Mrs
"KIRKLAND, Fr Charles Leonard ",male,52,0,2,Queenstown,219533,12.3,0,0,NA,Priest / Minister  ,NA,1912-04-15,NA,/titanic-victim/charles-kirkland.html,1,12.3,1,Fr
"KVILLNER, Mr Johan Henrik Johannesson ",male,31,0,2,Southampton,18723,10.5,0,0,NA,Mechanical Engineer  ,1881-04-11,1912-04-15, [165],/titanic-victim/johan-henrik-johannesson-kvillner.html,1,10.5,1,Mr
"LAHTINEN, Fr William ",male,35,0,2,Southampton,250651,26,1,1,NA,Priest / Minister  ,1876-04-23,1912-04-15,NA,/titanic-victim/william-lahtinen.html,2,13,3,Fr
"LAHTINEN, Mrs Anna Amelia ",female,34,0,2,Southampton,250651,26,1,1,NA,NA,1878-02-17,1912-04-15,NA,/titanic-victim/anna-amelia-lahtinen.html,2,13,3,Mrs
"LAMB, Mr John J. ",male,30,0,2,Queenstown,240261,10.7,0,0,NA,Gentleman  ,1881-02-09,1912-04-15,NA,/titanic-victim/john-joseph-lamb.html,1,10.7,1,Mr
